player,PLAYER_ID,role,cluster_id,cluster_confidence,archetype,avg_distance,avg_xFG,avg_sdi,actual_fg_pct,pullup_rate,usage_pct,attempts_per_game,total_attempts,games_played,pct_rim,pct_midrange,pct_3pt,pct_corner_3,distance_std,distance_iqr,distance_entropy,layup_rate,dunk_rate,hook_rate,floater_rate
D'Angelo Russell,1626156,Wing,Wing-0,0.9999999999999365,Wing – Shot Creator (Mixed),16.823275862068964,0.41147284599554407,0.5167114551986105,0.4051724137931034,0.8448275862068966,0.262428234580793,8.923076923076923,232,26,0.36637931034482757,0.15086206896551724,0.48275862068965514,0.07758620689655173,9.279627714567722,16.25,1.5305422537290285,0.14224137931034483,0.0,0.008620689655172414,0.1896551724137931
Karl-Anthony Towns,1626157,Wing,Wing-1,0.9999999999954925,Wing – Paint-Dominant,10.875555555555556,0.5060113267463946,0.3629370164163995,0.4651851851851852,0.47703703703703704,0.24942020988975822,14.0625,675,48,0.6162962962962963,0.05925925925925926,0.3244444444444445,0.014814814814814815,11.18030980781013,24.0,1.340448598561839,0.397037037037037,0.06518518518518518,0.05925925925925926,0.09481481481481481
Kelly Oubre Jr.,1626162,Wing,Wing-1,0.9247434240090706,Wing – Paint-Dominant,13.935064935064934,0.4689209617897399,0.43601214407853667,0.4805194805194805,0.6785714285714286,0.16726963744885853,10.620689655172415,308,29,0.5,0.04220779220779221,0.45779220779220775,0.1590909090909091,10.691514078261882,22.0,1.5007352937648104,0.2532467532467532,0.05844155844155844,0.00974025974025974,0.09740259740259741
Devin Booker,1626164,Wing,Wing-0,0.9999917584961613,Wing – Shot Creator (Mixed),14.606100795755967,0.43507848582821684,0.499507196638335,0.4562334217506631,0.7705570291777188,0.30052321159503476,18.390243902439025,754,41,0.4389920424403183,0.2639257294429708,0.2957559681697613,0.021220159151193636,9.146441186037379,18.0,1.6318116302846146,0.20557029177718833,0.017241379310344827,0.002652519893899204,0.046419098143236075
Myles Turner,1626167,Wing,Wing-0,0.9999999992138138,Wing – Shot Creator (Mixed),17.44782608695652,0.43498513937604644,0.4475992499362482,0.4391304347826087,0.7326086956521739,0.18334182824797032,9.787234042553191,460,47,0.33695652173913043,0.08478260869565217,0.5782608695652174,0.1,10.323076063036615,20.0,1.4400875973324445,0.18695652173913044,0.0391304347826087,0.030434782608695653,0.041304347826086954
Bobby Portis,1626171,Wing,Wing-0,0.9999996428393396,Wing – Shot Creator (Mixed),15.35067437379576,0.42817691518291096,0.46662062001663296,0.4816955684007707,0.7148362235067437,0.22145220588235293,11.042553191489361,519,47,0.36223506743737954,0.2581888246628131,0.3795761078998073,0.13872832369942195,9.020373472048155,17.0,1.5630611368511556,0.14450867052023122,0.011560693641618497,0.1252408477842004,0.08670520231213873
Norman Powell,1626181,Wing,Wing-0,0.9968265605130395,Wing – Shot Creator (Mixed),14.589158345221113,0.44467868962221957,0.4752536005174972,0.47218259629101283,0.6776034236804565,0.26368912873139044,16.302325581395348,701,43,0.449358059914408,0.10699001426533523,0.442225392296719,0.07417974322396577,10.562715938852607,22.0,1.5225206398695177,0.29101283880171186,0.012838801711840228,0.015691868758915834,0.12125534950071326
Royce O'Neale,1626220,Guard,Guard-3,1.0,Guard – Perimeter-Focused (Low Usage),21.922374429223744,0.3855600933191772,0.5114149616904737,0.4223744292237443,0.863013698630137,0.14196741704873858,8.423076923076923,438,52,0.1735159817351598,0.02054794520547945,0.8059360730593607,0.1415525114155251,8.827012930671748,4.0,1.1742169967728497,0.12557077625570776,0.0091324200913242,0.0,0.05707762557077625
Domantas Sabonis,1627734,Big,Big-1,1.0,Big – Paint-Dominant,6.108597285067873,0.5545181496200646,0.30421475039881785,0.5429864253393665,0.2579185520361991,0.22237826408398637,11.631578947368421,221,19,0.83710407239819,0.04072398190045249,0.12217194570135748,0.027149321266968326,7.812982687680331,5.0,1.2617751137639797,0.5067873303167421,0.10407239819004525,0.12669683257918551,0.049773755656108594
Kris Dunn,1627739,Wing,Wing-1,0.7282397568313042,Wing – Paint-Dominant,14.288025889967637,0.4495526308835306,0.43399251563454905,0.4692556634304207,0.7087378640776699,0.13055378627903547,6.18,309,50,0.488673139158576,0.045307443365695796,0.46601941747572817,0.20064724919093851,9.95988148885592,20.0,1.5445228583283592,0.23300970873786409,0.02912621359223301,0.022653721682847898,0.20064724919093851
Buddy Hield,1627741,Guard,Guard-4,1.0,Guard – Perimeter-Focused,18.27,0.41764231178484945,0.5115492949762029,0.43333333333333335,0.7333333333333333,0.18798240322860615,6.818181818181818,300,44,0.28,0.07,0.65,0.15666666666666668,10.289314845994365,21.0,1.3785798336289865,0.26,0.0033333333333333335,0.0,0.023333333333333334
Brandon Ingram,1627742,Wing,Wing-0,0.9999999999576142,Wing – Shot Creator (Mixed),14.636670416197974,0.44685459063655275,0.4833243076586614,0.47244094488188976,0.8065241844769404,0.2687473759747405,17.431372549019606,889,51,0.3779527559055118,0.33183352080989875,0.2902137232845894,0.06974128233970754,8.53474909148127,14.0,1.5896875331858868,0.15410573678290213,0.03487064116985377,0.003374578177727784,0.0359955005624297
Caris LeVert,1627747,Wing,Wing-0,0.9997843571167576,Wing – Shot Creator (Mixed),15.456221198156681,0.4416400620696768,0.5059535008005042,0.42857142857142855,0.7142857142857143,0.17570037819341894,6.575757575757576,217,33,0.4470046082949309,0.06912442396313365,0.4838709677419355,0.08755760368663595,10.377110249777157,21.0,1.4877734054877427,0.23963133640552994,0.03686635944700461,0.004608294930875576,0.07834101382488479
Jamal Murray,1627750,Wing,Wing-0,0.9999999917616589,Wing – Shot Creator (Mixed),15.564971751412429,0.42740640812272024,0.4994415716238808,0.4858757062146893,0.735593220338983,0.27745824903804195,18.829787234042552,885,47,0.39096045197740115,0.21129943502824858,0.3954802259887006,0.03841807909604519,9.823643685197773,20.0,1.5663982367897362,0.2519774011299435,0.005649717514124294,0.003389830508474576,0.096045197740113
Jaylen Brown,1627759,Wing,Wing-1,0.9245226119310893,Wing – Paint-Dominant,13.529468599033816,0.44589480696591455,0.469886139353511,0.4859903381642512,0.6888888888888889,0.359489131925036,22.5,1035,46,0.47342995169082125,0.26280193236714977,0.263768115942029,0.028985507246376812,9.14930165115351,18.0,1.6321961704979395,0.2811594202898551,0.022222222222222223,0.007729468599033816,0.08019323671497584
Pascal Siakam,1627783,Wing,Wing-1,0.999996569050766,Wing – Paint-Dominant,11.977452085682074,0.46094196988032604,0.4281661626555329,0.48478015783540024,0.6426155580608793,0.2812344680154655,18.479166666666668,887,48,0.5749718151071026,0.16459977452085683,0.26042841037204056,0.040586245772266064,9.307485581910111,20.0,1.5829088664839581,0.3089064261555806,0.010146561443066516,0.02818489289740699,0.10822998872604284
Ivica Zubac,1627826,Big,Big-0,1.0,Big – Paint-Dominant (Low Usage),3.613053613053613,0.5934046385672889,0.28097784256370917,0.6130536130536131,0.07925407925407925,0.18354601796557435,9.976744186046512,429,43,0.9766899766899766,0.023310023310023312,0.0,0.0,3.426725262913962,5.0,0.9147991496698203,0.32400932400932403,0.20279720279720279,0.3916083916083916,0.07692307692307693
De'Aaron Fox,1628368,Wing,Wing-0,0.8185699452499383,Wing – Shot Creator (Mixed),14.266457680250785,0.44571864966023517,0.4715066940097406,0.4780564263322884,0.7758620689655172,0.24431352789029329,15.19047619047619,638,42,0.4717868338557994,0.14420062695924765,0.38401253918495304,0.08150470219435738,9.710624891525807,20.0,1.5826242762112677,0.21003134796238246,0.009404388714733543,0.003134796238244514,0.10501567398119123
Malik Monk,1628370,Wing,Wing-0,0.999997550797899,Wing – Shot Creator (Mixed),16.408983451536642,0.4248453536143445,0.4944244786252575,0.43498817966903075,0.7683215130023641,0.22989029717150017,10.071428571428571,423,42,0.4113475177304965,0.11583924349881797,0.4728132387706856,0.08037825059101655,9.789762263339762,19.0,1.5516919285142068,0.17966903073286053,0.04491725768321513,0.004728132387706856,0.1111111111111111
Lauri Markkanen,1628374,Wing,Wing-1,0.9773735597225743,Wing – Paint-Dominant,13.5075034106412,0.47802205528376207,0.42212235010673205,0.47748976807639837,0.6152796725784447,0.26597970213189875,19.289473684210527,733,38,0.4979536152796725,0.09822646657571624,0.40381991814461116,0.0927694406548431,10.473699087889779,22.0,1.5237330529611772,0.2578444747612551,0.09140518417462483,0.0286493860845839,0.06002728512960437
Donovan Mitchell,1628378,Wing,Wing-0,0.9992179015917565,Wing – Shot Creator (Mixed),15.90241448692153,0.43253217467650207,0.48684066900631984,0.48390342052313884,0.7595573440643864,0.314803699326928,20.708333333333332,994,48,0.4084507042253521,0.12173038229376258,0.46981891348088534,0.05432595573440644,10.3726892841796,19.0,1.5285886836652836,0.2152917505030181,0.01609657947686117,0.008048289738430584,0.16297786720321933
