player,avg_xFG,actual_fg_pct,makes,attempts,avg_residual,residual_fg_pct
Luke Kennard,0.41429879414309223,0.5375,129,240,0.12320120585690779,0.12320120585690775
Nikola Jokić,0.4719515341942756,0.5942492012779552,372,626,0.12229766708367971,0.12229766708367962
Luka Garza,0.4903882312129476,0.5915492957746479,126,213,0.10116106456170026,0.10116106456170026
Shai Gilgeous-Alexander,0.45888039698442085,0.553941908713693,534,964,0.09506151172927206,0.09506151172927213
Deandre Ayton,0.5828166985118944,0.6756756756756757,275,407,0.09285897716378123,0.09285897716378122
Cam Spencer,0.3969169374082138,0.48854961832061067,192,393,0.09163268091239682,0.09163268091239685
Sam Merrill,0.3885602483530879,0.47509578544061304,124,261,0.08653553708752516,0.08653553708752515
Kevin Durant,0.4322996245553629,0.5088547815820543,431,847,0.07655515702669138,0.07655515702669141
Austin Reaves,0.43726511429746967,0.5112781954887218,204,399,0.0740130811912521,0.0740130811912521
T.J. McConnell,0.4546470583448267,0.5284810126582279,167,316,0.07383395431340115,0.07383395431340117
DeMar DeRozan,0.4366539600831346,0.5064011379800853,356,703,0.06974717789695069,0.06974717789695073
Stephen Curry,0.4011723026236735,0.46774193548387094,348,744,0.0665696328601975,0.06656963286019746
Maxime Raynaud,0.4874077475243536,0.5525525525525525,184,333,0.06514480502819889,0.06514480502819892
Naji Marshall,0.4663000032194633,0.5311284046692607,273,514,0.0648284014497974,0.0648284014497974
AJ Green,0.3765849636834082,0.44077134986225897,160,363,0.06418638617885077,0.06418638617885075
Luka Dončić,0.41075124277948377,0.4734561213434453,437,923,0.06270487856396151,0.06270487856396151
Vít Krejčí,0.4007131297327298,0.46105919003115264,148,321,0.06034606029842286,0.06034606029842282
Jamal Murray,0.42740640812272024,0.4858757062146893,430,885,0.05846929809196901,0.058469298091969046
Kawhi Leonard,0.44088614399649717,0.496617050067659,367,739,0.05573090607116183,0.05573090607116182
Payton Pritchard,0.4059430939175863,0.4616457461645746,331,717,0.055702652246988296,0.05570265224698828
Kon Knueppel,0.430233862216436,0.48462664714494874,331,683,0.05439278492851279,0.05439278492851274
Bobby Portis,0.42812793490684947,0.4823091247672253,259,537,0.05418118986037584,0.054181189860375845
Rui Hachimura,0.45248221113049925,0.505464480874317,185,366,0.05298226974381768,0.0529822697438177
Collin Gillespie,0.3914063541267624,0.44283121597096187,244,551,0.0514248618441995,0.051424861844199476
Donovan Mitchell,0.43253217467650207,0.48390342052313884,481,994,0.05137124584663678,0.05137124584663677
Jonas Valančiūnas,0.5254038322227279,0.5764705882352941,147,255,0.05106675601256625,0.05106675601256616
Keldon Johnson,0.5021203736396274,0.5513626834381551,263,477,0.0492423097985278,0.04924230979852773
Nikola Vučević,0.45796670669046874,0.5044910179640718,337,668,0.0465243112736031,0.04652431127360307
Anfernee Simons,0.39669077080131854,0.4425385934819897,258,583,0.045847822680671176,0.04584782268067117
Anthony Edwards,0.4503856094886892,0.49382716049382713,440,891,0.04344155100513797,0.04344155100513791
John Collins,0.5205203770340671,0.5638766519823789,256,454,0.043356274948311825,0.043356274948311846
Tim Hardaway Jr.,0.4028290680357972,0.4455252918287938,229,514,0.04269622379299654,0.04269622379299659
Tre Jones,0.5073957710183749,0.5496688741721855,166,302,0.042273103153810575,0.04227310315381061
Mikal Bridges,0.458277531206866,0.5,327,654,0.04172246879313403,0.041722468793134015
Svi Mykhailiuk,0.43280644725282286,0.474025974025974,146,308,0.041219526773151195,0.04121952677315116
Isaiah Joe,0.3928239866549764,0.4337748344370861,131,302,0.04095084778210969,0.04095084778210967
Tre Johnson,0.4043226688787533,0.44390243902439025,182,410,0.03957977014563691,0.03957977014563696
Jaylen Brown,0.44638481078762166,0.4849056603773585,514,1060,0.03852084958973682,0.03852084958973684
Naz Reid,0.4322374497787024,0.4704918032786885,287,610,0.03825435349998614,0.03825435349998613
Corey Kispert,0.44260206768842847,0.48,108,225,0.037397932311571555,0.03739793231157151
Duncan Robinson,0.39539410822884236,0.4326086956521739,199,460,0.037214587423331585,0.03721458742333156
Jaylon Tyson,0.482714711149053,0.5195876288659794,252,485,0.03687291771692634,0.03687291771692641
