player_name,team,salary,salary_millions
Stephen Curry,GSW,59606817,59.606817
Joel Embiid,PHI,55224526,55.224526
Nikola JokiÄ,DEN,55224526,55.224526
Kevin Durant,HOU,54708609,54.708609
Jayson Tatum,BOS,54126450,54.12645
Giannis Antetokounmpo,MIL,54126450,54.12645
Anthony Davis,DAL,54126450,54.12645
Jimmy Butler,GSW,54126450,54.12645
Damian Lillard,MIL,68230450,68.23045
Bradley Beal,PHO,59020270,59.02027
Jaylen Brown,BOS,53142264,53.142264
Devin Booker,PHO,53142264,53.142264
Karl-Anthony Towns,NYK,53142264,53.142264
LeBron James,LAL,52627153,52.627153
Paul George,PHI,51666090,51.66609
Kawhi Leonard,LAC,50000000,50.0
Zach LaVine,SAC,47499660,47.49966
Cade Cunningham,DET,46394100,46.3941
Evan Mobley,CLE,46394100,46.3941
Jamal Murray,DEN,46394100,46.3941
Lauri Markkanen,UTA,46394100,46.3941
Donovan Mitchell,CLE,46394100,46.3941
Luka DonÄiÄ,LAL,45999660,45.99966
Trae Young,WAS,45999660,45.99966
Anthony Edwards,MIN,45550512,45.550512
Tyrese Haliburton,IND,45550512,45.550512
Pascal Siakam,IND,45550512,45.550512
Domantas Sabonis,SAC,42336000,42.336
OG Anunoby,NYK,39568966,39.568966
Zion Williamson,NOP,39446090,39.44609
Ja Morant,MEM,39446090,39.44609
Darius Garland,CLE,39446090,39.44609
James Harden,LAC,39182693,39.182693
Scottie Barnes,TOR,38661750,38.66175
Franz Wagner,ORL,38661750,38.66175
Shai Gilgeous-Alexander,OKC,38333050,38.33305
Michael Porter,BRK,38333050,38.33305
Brandon Ingram,TOR,38095238,38.095238
Tyrese Maxey,PHI,37958760,37.95876
LaMelo Ball,CHO,37958760,37.95876
De'Aaron Fox,SAS,37096620,37.09662
Bam Adebayo,MIA,37096620,37.09662
Desmond Bane,ORL,36725670,36.72567
Kyrie Irving,DAL,36566002,36.566002
Deandre Ayton,POR,43654814,43.654814
Jaren Jackson,MEM,35000000,35.0
Jalen Suggs,ORL,35000000,35.0
Rudy Gobert,MIN,35000000,35.0
Jalen Brunson,NYK,34944001,34.944001
Alperen ÅengÃ¼n,HOU,33944954,33.944954
Jalen Green,PHO,33584499,33.584499
Khris Middleton,WAS,33296296,33.296296
Immanuel Quickley,TOR,32500000,32.5
Jrue Holiday,POR,32400000,32.4
Jerami Grant,POR,32000001,32.000001
Jordan Poole,NOP,31848215,31.848215
Tyler Herro,MIA,31000000,31.0
Julius Randle,MIN,30864198,30.864198
Dejounte Murray,NOP,30801103,30.801103
Kristaps PorziÅÄ£is,ATL,30731707,30.731707
CJ McCollum,ATL,30666666,30.666666
Jalen Johnson,ATL,30000000,30.0
Isaiah Hartenstein,OKC,28500000,28.5
Andrew Wiggins,MIA,28223215,28.223215
Derrick White,BOS,28100000,28.1
RJ Barrett,TOR,27705357,27.705357
Anfernee Simons,BOS,27678571,27.678571
Devin Vassell,SAS,27000000,27.0
Terry Rozier,MIA,26643031,26.643031
Tobias Harris,DET,26634146,26.634146
John Collins,LAC,26580000,26.58
Draymond Green,GSW,25892857,25.892857
Nic Claxton,BRK,25352272,25.352272
Myles Turner,MIL,25318251,25.318251
Trey Murphy,NOP,25000000,25.0
Josh Giddey,CHI,25000000,25.0
Miles Bridges,CHO,25000000,25.0
Fred VanVleet,HOU,25000000,25.0
Mikal Bridges,NYK,24900000,24.9
DeMar DeRozan,SAC,24570000,24.57
Jaden McDaniels,MIN,24393104,24.393104
De'Andre Hunter,SAC,23303571,23.303571
Aaron Gordon,DEN,22841455,22.841455
Jonathan Kuminga,GSW,22500000,22.5
Kyle Kuzma,MIL,22410605,22.410605
Kentavious Caldwell-Pope,MEM,21621500,21.6215
Marcus Smart,WAS,26720855,26.720855
Naz Reid,MIN,21551724,21.551724
Nikola VuÄeviÄ,CHI,21481481,21.481481
Dillon Brooks,PHO,21124110,21.12411
Cameron Johnson,DEN,21057065,21.057065
Norman Powell,MIA,20482758,20.482758
Jarrett Allen,CLE,20000000,20.0
Jakob Poeltl,TOR,19500000,19.5
Josh Hart,NYK,19472240,19.47224
Jusuf NurkiÄ,UTA,19375000,19.375
Harrison Barnes,SAS,19000000,19.0
Collin Sexton,CHO,18975000,18.975
Malik Monk,SAC,18797619,18.797619
Santi Aldama,MEM,18485916,18.485916
Rui Hachimura,LAL,18259259,18.259259
Luguentz Dort,OKC,18222222,18.222222
Alex Caruso,OKC,18102000,18.102
Ivica Zubac,LAC,18102000,18.102
Andrew Nembhard,IND,18102000,18.102
Zach Collins,CHI,18080496,18.080496
Patrick Williams,CHI,18000000,18.0
Kevin Huerter,CHI,17991071,17.991071
Keldon Johnson,SAS,17500000,17.5
Grayson Allen,PHO,16875000,16.875
Duncan Robinson,DET,26722692,26.722692
Klay Thompson,DAL,16666667,16.666667
Bogdan BogdanoviÄ,LAC,16020000,16.02
Max Strus,CLE,15936452,15.936452
Terance Mann,BRK,15500000,15.5
Paolo Banchero,ORL,15334769,15.334769
Nickeil Alexander-Walker,ATL,15161800,15.1618
Onyeka Okongwu,ATL,15000000,15.0
Jonathan Isaac,ORL,15000000,15.0
Isaiah Stewart,DET,15000000,15.0
Daniel Gafford,DAL,14386320,14.38632
Deni Avdija,POR,14375000,14.375
Jordan Clarkson,UTA,16581988,16.581988
P.J. Washington,DAL,14152174,14.152174
Steven Adams,HOU,14130434,14.130434
Caris LeVert,DET,14104000,14.104
Dennis SchrÃ¶der,CLE,14104000,14.104
Damian Lillard,POR,68230450,68.23045
Obi Toppin,IND,14000000,14.0
Corey Kispert,ATL,13975000,13.975
Herbert Jones,NOP,13937574,13.937574
Austin Reaves,LAL,13937574,13.937574
Cooper Flagg,DAL,13825920,13.82592
Chet Holmgren,OKC,13731368,13.731368
Josh Green,CHO,13666667,13.666667
Grant Williams,CHO,13645500,13.6455
Bobby Portis,MIL,13445754,13.445754
Kelly Olynyk,SAS,13445122,13.445122
Victor Wembanyama,SAS,13376880,13.37688
Robert Williams,POR,13285713,13.285713
Zaccharie Risacher,ATL,13197720,13.19772
Cole Anthony,MEM,15396274,15.396274
Mitchell Robinson,NYK,12954546,12.954546
Coby White,CHI,12888889,12.888889
Dorian Finney-Smith,HOU,12700000,12.7
Brandon Clarke,MEM,12500000,12.5
Dylan Harper,SAS,12370320,12.37032
Isaiah Joe,OKC,12362338,12.362338
Jabari Smith,HOU,12350392,12.350392
Donte DiVincenzo,MIN,11990000,11.99
Brandon Miller,CHO,11968800,11.9688
Alex Sarr,WAS,11808240,11.80824
Davion Mitchell,MIA,11600000,11.6
Moses Moody,GSW,11574075,11.574075
Jarred Vanderbilt,LAL,11571429,11.571429
Matisse Thybulle,POR,11550000,11.55
Gabe Vincent,LAL,11500000,11.5
Keegan Murray,SAC,11144093,11.144093
VJ Edgecombe,PHI,11108880,11.10888
Aaron Nesmith,IND,11000000,11.0
Luke Kornet,SAS,11000000,11.0
Isaac Okoro,CHI,11000000,11.0
Maxi Kleber,LAL,11000000,11.0
Luke Kennard,ATL,11000000,11.0
Wendell Carter,ORL,10850000,10.85
Mike Conley,MIN,10774038,10.774038
Scoot Henderson,POR,10748040,10.74804
Reed Sheppard,HOU,10603560,10.60356
Jonas ValanÄiÅ«nas,DEN,10395000,10.395
T.J. McConnell,IND,10200000,10.2
Royce O'Neale,PHO,10125000,10.125
Jaden Ivey,DET,10107163,10.107163
Aaron Wiggins,OKC,10102803,10.102803
Sam Hauser,BOS,10044644,10.044644
Kon Knueppel,CHO,10015680,10.01568
Derrick Jones,LAC,10000000,10.0
Lonzo Ball,CLE,10000000,10.0
Duncan Robinson,MIA,26722692,26.722692
Amen Thompson,HOU,9690600,9.6906
Caleb Martin,DAL,9594044,9.594044
Stephon Castle,SAS,9560520,9.56052
Pat Connaughton,CHO,9423869,9.423869
Buddy Hield,GSW,9219512,9.219512
Kyle Anderson,UTA,9219512,9.219512
Bennedict Mathurin,IND,9187573,9.187573
Ace Bailey,UTA,9069840,9.06984
Naji Marshall,DAL,9000000,9.0
Jalen Smith,CHI,9000000,9.0
Ty Jerome,MEM,8781000,8.781
Ausar Thompson,DET,8775000,8.775
Brook Lopez,LAC,8750000,8.75
Quentin Grimes,PHI,8741209,8.741209
Ron Holland,DET,8657280,8.65728
Sam Merrill,CLE,8482144,8.482144
Jaylin Williams,OKC,8450704,8.450704
Shaedon Sharpe,POR,8399983,8.399983
Kelly Oubre,PHI,8382150,8.38215
Goga Bitadze,ORL,8333333,8.333333
Simone Fontecchio,MIA,8307692,8.307692
Tre Johnson,WAS,8237640,8.23764
Georges Niang,UTA,8200000,8.2
Zeke Nnaji,DEN,8177778,8.177778
Vasilije MiciÄ,MIL,8109150,8.10915
Deandre Ayton,LAL,43654814,43.654814
Tre Mann,CHO,8000000,8.0
Tre Jones,CHI,8000000,8.0
Kevon Looney,NOP,8000000,8.0
