"timestamp","mode","season","tables_synced","total_rows","elapsed_secs","error"
"2026-02-08 21:52:08","full","all",17,0,12.2,"17 table errors"
"2026-02-08 21:56:53","full","all",17,0,25.9,"17 table errors"
"2026-02-08 22:01:28","full","all",17,0,17,"17 table errors"
"2026-02-08 22:04:00","full","all",17,0,10.5,"17 table errors"
"2026-02-08 22:45:27","full","all",17,18210981,2252.2,"1 table errors"
"2026-02-08 22:48:00","full","all",1,0,3.3,"1 table errors"
"2026-02-08 22:49:45","full","all",1,0,3.7,"1 table errors"
"2026-02-08 22:50:48","full","all",1,0,9.9,"1 table errors"
"2026-02-08 22:52:47","full","all",1,4326,4,""
"2026-02-09 00:54:01","full","all",1,0,0.8,"1 table errors"
"2026-02-09 00:56:17","full","all",1,0,5.7,"1 table errors"
"2026-02-09 00:58:39","full","all",1,4326,3.3,""
"2026-02-09 01:01:28","full","all",1,4326,3.1,""
"2026-02-09 09:11:25","incremental","2026",17,1045172,260.7,""
"2026-02-09 12:49:07","incremental","2026",17,1047501,238.1,""
"2026-02-10 09:31:35","incremental","2026",17,1060427,278.7,""
